player_id,firstname,lastname,position,height,weight,byear,rookie
329672,Ty,Lawson,Point Guard,71,195,1987,2009
552679,Timofey,Mozgov,Center,85,250,1986,2010
411111,Kenneth,Faried,Power Forward,80,228,1989,2011
513608,Jordan,Hamilton,Small Forward,79,220,1990,2011
659767,Evan,Fournier,Shooting Guard,79,204,1992,2012
604683,Quincy,Miller,Small Forward,81,210,1992,2012
3156,Chauncey,Billups,Guard,75,210,1976,1997
253996,Josh,Smith,Forward,81,225,1985,2004
229764,Charlie,Villanueva,Power Forward,83,232,1984,2005
65868,Will,Bynum,Point Guard,72,185,1983,2005
278110,Rodney,Stuckey,Guard,77,205,1986,2007
478196,Brandon,Jennings,Point Guard,73,169,1989,2009
503807,Jonas,Jerebko,Forward,82,231,1987,2009
467468,Greg,Monroe,Forward-Center,83,250,1990,2010
398428,Kyle,Singler,Guard-Forward,80,230,1988,2012
469488,Josh,Harrellson,Forward-Center,82,275,1989,2011
614746,Andre,Drummond,Forward-Center,83,279,1993,2012
602730,Kentavious,Caldwell-Pope,Shooting Guard,77,205,1993,2013
604490,Tony,Mitchell,Forward,81,235,1992,2013
511068,Peyton,Siva,Point Guard,72,185,1990,2013
478213,Luigi,Datome,Guard-Forward,80,215,1987,2013
3102,Jermaine,O'Neal,Center,83,262,1978,1996
173004,Andre,Iguodala,Guard-Forward,78,218,1984,2004
229912,Andrew,Bogut,Center,84,255,1984,2005
65840,David,Lee,Forward-Center,81,240,1983,2005
172881,Hilton,Armstrong,Forward-Center,83,235,1984,2006
330421,Marreese,Speights,Forward-Center,82,271,1987,2008
338365,Stephen,Curry,Guard,75,185,1988,2009
401082,Jordan,Crawford,Guard,76,195,1988,2010
457611,Klay,Thompson,Guard-Forward,79,205,1990,2011
398434,MarShon,Brooks,Guard-Forward,77,200,1989,2011
552336,Harrison,Barnes,Forward,80,222,1992,2012
417020,Festus,Ezeli,Center,83,255,1989,2012
468895,Draymond,Green,Small Forward,79,230,1990,2012
659782,Ognjen,Kuzmic,Center,85,251,1990,2013
410764,Kent,Bazemore,Guard-Forward,77,201,1989,2012
739962,Nemanja,Nedovic,Guard,75,192,1991,2013
253975,Dwight,Howard,Forward-Center,83,265,1985,2004
174054,Francisco,Garcia,Guard-Forward,79,195,1981,2005
229955,Ronnie,Brewer,Guard-Forward,79,235,1985,2006
229726,Aaron,Brooks,Point Guard,72,161,1985,2007
456453,Omer,Asik,Forward-Center,84,255,1986,2010
395388,James,Harden,Guard-Forward,77,220,1989,2009
503779,Omri,Casspi,Small Forward,81,225,1988,2009
332691,Patrick,Beverley,Guard,73,185,1988,2012
340730,Jeremy,Lin,Guard,75,200,1988,2010
